
Path                            SizeGB SizeMB
----                            ------ ------
frontend                          0.50 514.87
node_modules                      0.50 511.52
codex-core                        0.32 324.81
packages                          0.16 164.56
.terraform                        0.14 146.41
codexdominion-schemas             0.12 122.42
apps                              0.10 105.24
.venv                             0.07  68.92
.mypy_cache                       0.05  50.78
nginx                             0.01   6.26
openstack-python                  0.00   0.00
openstack-javascript              0.00   0.00
openstack-go                      0.00   0.00
oci-yaml                          0.00   0.00
oci-typescript                    0.00   0.00
oci-go                            0.00   0.00
oci-javascript                    0.00   0.00
oci-java                          0.00   0.00
openstack-typescript              0.00   0.00
notebookllm_destroyer_research    0.00   0.00
nginx-config                      0.00   0.00
nano_banana_destroyer_content     0.00   0.00
multi_domain_codex_deployment     0.00   0.09
oci-python                        0.00   0.00
openstack-yaml                    0.00   0.00
ovh-go                            0.00   0.00
ovh-csharp                        0.00   0.00
random-csharp                     0.00   0.00
quantum_templates                 0.00   0.00
python                            0.00   0.00
portals                           0.00   0.00
policies                          0.00   0.03
pinecone-yaml                     0.00   0.00
pinecone-typescript               0.00   0.00
pinecone-python                   0.00   0.00
pinecone-javascript               0.00   0.00
pinecone-go                       0.00   0.00
pinecone-csharp                   0.00   0.00
passports                         0.00   0.00
ovh-yaml                          0.00   0.00
ovh-typescript                    0.00   0.00
ovh-python                        0.00   0.00
ovh-java                          0.00   0.00
motion_graphics                   0.00   0.00
ops                               0.00   0.11
monitoring                        0.00   0.00
manifests                         0.00   0.00
metadata                          0.00   0.01
kubernetes-gcp-yaml               0.00   0.00
kubernetes-gcp-typescript         0.00   0.00
kubernetes-gcp-python             0.00   0.00
kubernetes-gcp-go                 0.00   0.00
kubernetes-gcp-csharp             0.00   0.00
kubernetes-fsharp                 0.00   0.00
kubernetes-csharp                 0.00   0.00
kubernetes-azure-yaml             0.00   0.00
kubernetes-azure-typescript       0.00   0.00
kubernetes-azure-python           0.00   0.00
kubernetes-azure-go               0.00   0.00
kubernetes-azure-csharp           0.00   0.00
kubernetes-aws-yaml               0.00   0.00
kubernetes-aws-typescript         0.00   0.00
kubernetes-aws-python             0.00   0.00
kubernetes-aws-go                 0.00   0.00
kubernetes-aws-csharp             0.00   0.00
kubernetes-go                     0.00   0.00
modules                           0.00   0.03
kubernetes-java                   0.00   0.00
kubernetes-ovh-csharp             0.00   0.00
random-go                         0.00   0.00
lovable_destroyer_projects        0.00   0.00
logs                              0.00   0.01
linode-yaml                       0.00   0.00
linode-typescript                 0.00   0.00
linode-python                     0.00   0.00
linode-javascript                 0.00   0.00
linode-go                         0.00   0.00
ledger                            0.00   0.00
kustomize                         0.00   0.06
kubernetes-yaml                   0.00   0.00
kubernetes-typescript             0.00   0.00
kubernetes-python                 0.00   0.00
kubernetes-ovh-typescript         0.00   0.00
kubernetes-ovh-python             0.00   0.00
kubernetes-ovh-java               0.00   0.00
kubernetes-ovh-go                 0.00   0.00
kubernetes-javascript             0.00   0.00
__pycache__                       0.00   0.07
random-python                     0.00   0.00
k8s                               0.00   0.04
video_projects                    0.00   0.00
ultimate_creative_suite           0.00   0.00
typescript                        0.00   0.00
tests                             0.00   0.00
templates_backup                  0.00   0.03
templates                         0.00   0.01
template                          0.00   0.00
visualbasic                       0.00   0.00
systemd                           0.00   0.00
static-website-gcp-yaml           0.00   0.00
static-website-gcp-typescript     0.00   0.00
static-website-gcp-python         0.00   0.00
static-website-gcp-go             0.00   0.00
static-website-gcp-csharp         0.00   0.00
static-website-azure-yaml         0.00   0.00
static-website-azure-typescript   0.00   0.00
system_capsules                   0.00   0.01
vm-aws-csharp                     0.00   0.00
vm-aws-go                         0.00   0.00
vm-aws-python                     0.00   0.00
webapp-kubernetes-typescript      0.00   0.00
webapp-kubernetes-python          0.00   0.00
webapp-kubernetes-go              0.00   0.00
webapp-kubernetes-csharp          0.00   0.00
voice_synthesis                   0.00   0.00
vm-gcp-yaml                       0.00   0.00
vm-gcp-typescript                 0.00   0.00
vm-gcp-python                     0.00   0.00
vm-gcp-go                         0.00   0.00
vm-gcp-csharp                     0.00   0.00
vm-azure-yaml                     0.00   0.00
vm-azure-typescript               0.00   0.00
vm-azure-python                   0.00   0.00
vm-azure-go                       0.00   0.00
vm-azure-csharp                   0.00   0.00
vm-aws-yaml                       0.00   0.00
vm-aws-typescript                 0.00   0.00
static-website-azure-python       0.00   0.00
static-website-azure-go           0.00   0.00
static-website-azure-csharp       0.00   0.00
static-website-aws-yaml           0.00   0.00
serverless-aws-go                 0.00   0.00
serverless-aws-csharp             0.00   0.00
scrolls                           0.00   0.00
scripts                           0.00   0.10
schemas                           0.00   0.00
sagemaker-aws-python              0.00   0.00
research_intelligence_assets      0.00   0.00
render_queue                      0.00   0.00
render_farm                       0.00   0.00
rediscloud-yaml                   0.00   0.00
rediscloud-typescript             0.00   0.00
rediscloud-python                 0.00   0.00
rediscloud-javascript             0.00   0.00
rediscloud-go                     0.00   0.00
rediscloud-csharp                 0.00   0.00
random-yaml                       0.00   0.00
random-typescript                 0.00   0.00
serverless-aws-python             0.00   0.00
random-java                       0.00   0.29
serverless-aws-typescript         0.00   0.00
serverless-azure-csharp           0.00   0.00
static-website-aws-typescript     0.00   0.00
static-website-aws-python         0.00   0.00
static-website-aws-go             0.00   0.00
static-website-aws-csharp         0.00   0.00
ssl-certificates                  0.00   0.00
ssl                               0.00   0.00
src                               0.00   0.07
social_affiliate_empire           0.00   0.04
serverless-gcp-yaml               0.00   0.00
serverless-gcp-typescript         0.00   0.00
serverless-gcp-python             0.00   0.00
serverless-gcp-go                 0.00   0.00
serverless-gcp-csharp             0.00   0.00
serverless-azure-yaml             0.00   0.00
serverless-azure-typescript       0.00   0.00
serverless-azure-python           0.00   0.00
serverless-azure-go               0.00   0.00
serverless-aws-yaml               0.00   0.00
jobs                              0.00   0.02
java                              0.00   0.00
java-jbang                        0.00   0.00
azure-javascript                  0.00   0.00
azure-java                        0.00   0.00
azure-go                          0.00   0.00
azure-fsharp                      0.00   0.00
azure-csharp                      0.00   0.00
azure-classic-yaml                0.00   0.00
azure-classic-visualbasic         0.00   0.00
azure-python                      0.00   0.00
azure-classic-typescript          0.00   0.00
azure-classic-javascript          0.00   0.00
azure-classic-go                  0.00   0.00
azure-classic-fsharp              0.00   0.00
azure-classic-csharp              0.00   0.00
axiom-flame                       0.00   0.00
aws-yaml                          0.00   0.00
aws-visualbasic                   0.00   0.00
azure-classic-python              0.00   0.00
azure-typescript                  0.00   0.00
azure-yaml                        0.00   0.00
azuredevops-python                0.00   0.00
codex-suite                       0.00   1.26
codex-integration                 0.00   0.69
codex-engines-chart               0.00   0.00
codex-dominion-stack              0.00   0.00
codex-constellation-chart         0.00   0.01
codex_signals                     0.00   0.14
codex_capsules                    0.00   0.03
cloud-function                    0.00   0.01
civo-yaml                         0.00   0.00
civo-typescript                   0.00   0.00
civo-python                       0.00   0.00
civo-javascript                   0.00   0.00
civo-go                           0.00   0.00
charters                          0.00   0.00
capsules                          0.00   0.00
broadcast_ready                   0.00   0.00
backups                           0.00   0.00
aws-typescript                    0.00   0.00
aws-scala                         0.00   0.00
aws-python                        0.00   0.00
aws-javascript                    0.00   0.00
alicloud-javascript               0.00   0.00
alicloud-go                       0.00   0.00
alicloud-fsharp                   0.00   0.00
alicloud-csharp                   0.00   0.00
alertmanager                      0.00   0.00
aiven-typescript                  0.00   0.00
aiven-python                      0.00   0.00
aiven-go                          0.00   0.00
ai_models                         0.00   0.00
ai_design_assets                  0.00   0.00
agents                            0.00   0.02
.vscode                           0.00   0.01
.streamlit                        0.00   0.00
.schemas                          0.00   0.00
.husky                            0.00   0.00
.github-secrets                   0.00   0.00
.github                           0.00   0.12
alicloud-python                   0.00   0.00
codexdominion                     0.00   0.69
alicloud-typescript               0.00   0.00
alicloud-yaml                     0.00   0.00
aws-java                          0.00   0.00
aws-go                            0.00   0.00
aws-fsharp                        0.00   0.00
aws-csharp                        0.00   0.00
avatars                           0.00   0.00
automation_workflows              0.00   0.00
auth0-yaml                        0.00   0.00
auth0-typescript                  0.00   0.00
auth0-python                      0.00   0.00
auth0-javascript                  0.00   0.00
auth0-go                          0.00   0.00
auth0-csharp                      0.00   0.00
assets                            0.00   0.00
artifacts                         0.00   4.75
archives                          0.00   0.01
app                               0.00   0.02
ancestry                          0.00   0.00
alicloud-visualbasic              0.00   0.00
javascript                        0.00   0.00
codexdominion-clean               0.00   0.11
consciousness_ux_patterns         0.00   0.00
go                                0.00   0.00
github-yaml                       0.00   0.00
github-typescript                 0.00   0.00
github-python                     0.00   0.00
github-javascript                 0.00   0.00
github-go                         0.00   0.00
github-csharp                     0.00   0.00
google-native-csharp              0.00   0.00
gcp-yaml                          0.00   0.00
gcp-typescript                    0.00   0.00
gcp-python                        0.00   0.00
gcp-javascript                    0.00   0.00
gcp-java                          0.00   0.00
gcp-go                            0.00   0.00
gcp-fsharp                        0.00   0.00
gcp-csharp                        0.00   0.00
gcp-visualbasic                   0.00   0.00
google-native-go                  0.00   0.00
google-native-python              0.00   0.00
google-native-typescript          0.00   0.00
java-gradle                       0.00   0.00
webapp-kubernetes-yaml            0.00   0.00
istio-latest                      0.00   0.00
ionos_empire                      0.00   0.01
ionos_deployment_package          0.00   0.06
ionos_analytics_deployment        0.00   0.02
interactive_media                 0.00   0.00
infra                             0.00   0.06
helm-kubernetes-yaml              0.00   0.00
helm-kubernetes-typescript        0.00   0.00
helm-kubernetes-python            0.00   0.00
helm-kubernetes-go                0.00   0.00
helm-kubernetes-csharp            0.00   0.00
helm                              0.00   0.16
hello-aws-javascript              0.00   0.00
grafana                           0.00   0.01
google-native-yaml                0.00   0.00
fsharp                            0.00   0.00
esc-connector-lambda-typescript   0.00   0.00
equinix-metal-yaml                0.00   0.00
equinix-metal-typescript          0.00   0.00
csharp                            0.00   0.00
creative_consciousness_assets     0.00   0.00
crds                              0.00   0.01
core                              0.00   0.05
container-gcp-typescript          0.00   0.00
container-gcp-python              0.00   0.00
container-gcp-go                  0.00   0.00
container-gcp-csharp              0.00   0.00
container-azure-typescript        0.00   0.00
container-azure-python            0.00   0.00
container-azure-go                0.00   0.00
container-azure-csharp            0.00   0.00
container-aws-yaml                0.00   0.00
container-aws-typescript          0.00   0.00
container-aws-python              0.00   0.00
container-aws-go                  0.00   0.00
container-aws-csharp              0.00   0.00
customers                         0.00   0.01
config                            0.00   0.01
dashboard                         0.00   0.03
data                              0.00   0.04
equinix-metal-python              0.00   0.00
equinix-metal-javascript          0.00   0.00
equinix-metal-go                  0.00   0.00
ebooks                            0.00   0.00
docs                              0.00   0.11
docker                            0.00   0.00
dns                               0.00   0.01
dist                              0.00   0.28
dispatch                          0.00   0.00
digitalocean-yaml                 0.00   0.00
digitalocean-typescript           0.00   0.00
digitalocean-python               0.00   0.00
digitalocean-javascript           0.00   0.00
digitalocean-go                   0.00   0.00
digital_empire                    0.00   0.02
deployment_configs                0.00   0.00
deployment                        0.00   0.04
dashboards                        0.00   0.00
yaml                              0.00   0.00
